"name","country","mail"
"EDITIONS SALVATOR","France","contact@editions-salvador.com"
"EDITIONS SARBACANE","France","phianh@lapetiteagence.fr"
"SEUIL JEUNESSE","France","chartmann@lamartiniere.fr;fpariente@lamartiniere.fr"
"SYROS JEUNESSE","France","smini@syros.fr"
"TOURBILLON","France","geraldine.hummel@groupebayard.com"
"LES TROIS OURSES","France","troisourses@wanadoo.fr"
"WINIOUX","France","winioux@laposte.net"
"ADVOCATE ART LTD.","Great Britain","kate@advocate-art.com"
"ALADDIN BOOKS LTD","Great Britain","sales@aladdinbooks.co.uk"
"AMBER BOOKS LTD. (TIPTOE BOOKS LTD.)","Great Britain","rights@amberbooks.co.uk"
"A.M.K. (SERVICE) AGENCY LTD.","Great Britain","barbara@amk.org"
"ANDERSEN PRESS LTD.","Great Britain","SPakenham@penguinrandomhouse.co.uk"
"ANNESS PUBLISHING LTD.","Great Britain","info@anness.com"
"ANNO DOMINI PUBLISHING LIMITED","Great Britain","davidv@ad-publishing.co.uk;annetter@ad-publishing.co.uk"
"ARCTURUS PUBLISHING LTD.","Great Britain",""
"AUTUMN PUBLISHING","Great Britain","enquiries@autumnpublishing.co.uk"
"AWARD PUBLICATIONS LTD.","Great Britain","info@awardpublications.co.uk"
"B SMALL PUBLISHING LTD.","Great Britain","sh@bsmall.co.uk;books@bsmall.co.uk"
"BARRINGTON STOKE","Great Britain","info@barringtonstoke.co.uk"
"BJA DESIGN &amp; EXHIBITIONS LTD.","Great Britain","ali@bja.co.uk"
"BLOOMSBURY PUBLISHING PLC","Great Britain","rights@bloomsbury.com"
"BONNIER PUBLISHING LTD.","Great Britain","info@bonnierpublishing.co.uk"
"BOOKLIFE","Great Britain","info@booklife.co.uk"
"THE BOOKSELLER","Great Britain","emma.lowe@thebookseller.com"
"BRAMBLEKIDS LTD","Great Britain","info@bramblekids.com"
"BROWN WATSON","Great Britain","books@brownwatson.co.uk"
"BUTTON BOOKS","Great Britain","mela@thegmcgroup.com"
"CAMBRIDGE SCHOOL OF ART","Great Britain","pam.smy@anglia.ac.uk"
"CARLTON PUBLISHING GROUP","Great Britain","jpacheco@carltonbooks.co.uk"
"THE CHICKEN HOUSE","Great Britain","chickenhouse@doublecluck.com"
"CHILD'S PLAY (INTERNATIONAL) LTD.","Great Britain","office@childs-play.com"
"DK","Great Britain",""
"DREAMWORKS ANIMATION","Great Britain","harriet.murphy@dreamworks.com"
"DUBIT LIMITED","Great Britain","david.kleeman@dubitlimited.com"
"EGMONT PUBLISHING UK","Great Britain","corporateweb@egmont.com"
"EXPRESS PUBLISHING","Great Britain","inquiries@expresspublishing.co.uk"
"FABER &amp; FABER LTD.","Great Britain",""
"FLORIS BOOKS","Great Britain","katy@florisbooks.com"
"FLYING EYE BOOKS / NOBROW","Great Britain","info@nobrow.net"
"FOUNTAIN TREE LTD","Great Britain","megan@meadowkids.com"
"FOURTH WALL PUBLISHING","Great Britain","ann.qian@fourthwallpublishing.com"
"GREEN ANDROID LIMITED","Great Britain","toby@greenandroid.co.uk"
"HACHETTE CHILDREN'S GROUP","Great Britain","rights@hachettechildrens.co.uk"
"HALDANE MASON LTD.","Great Britain","info@haldanemason.com"
"HARPERCOLLINS PUBLISHERS","Great Britain",""
"HODDER CHILDREN'S BOOKS","Great Britain",""
"HOMETOWN WORLD LTD.","Great Britain","info@hometownworld.co.uk"
"HOT KEY BOOKS","Great Britain","enquiries@hotkeybooks.com"
"HUNGRY TOMATO LTD.","Great Britain","john@hungrytomato.com"
"HYTEX COMMUNICATION SERVICES LTD.","Great Britain","jo.goodwin@hytex.co.uk"
"I AM A BOOKWORM","Great Britain","nick@iamabookworm.co.uk"
"I - READ LTD.","Great Britain","sales@i-read.co.uk"
"IGLOO BOOKS","Great Britain","customerservice@igloobooks.com"
"ISEEK LTD","Great Britain","info@iseekcreative.com"
"LAURENCE KING PUBLISHING LTD.","Great Britain","amy.hawkins@laurenceking.com;enquiries@laurenceking.com"
"LEMONADE ILLUSTRATION AGENCY","Great Britain","info@lemonadeillustration.com"
"LION HUDSON PLC","Great Britain",""
"LITTLE TIGER GROUP","Great Britain","rights@littletiger.co.uk"
"LITTLE  BROWN BOOKS FOR YOUNG READERS (UK)","Great Britain",""
"LONELY PLANET PUBLICATIONS LTD.","Great Britain","go@lonelyplanet.co.uk"
"MACMILLAN CHILDREN'S BOOKS","Great Britain","childrensrightsquery@macmillan.co.uk"
"MAKE BELIEVE IDEAS","Great Britain","enquiries@makebelieveideas.com"
"MANOJ PUBLICATIONS","Great Britain","info@manojpublications.com"
"MAVERICK ARTS PUBLISHING LTD.","Great Britain","sales@maverick-arts.co.uk"
"MICHAEL O'MARA BOOKS LTD.","Great Britain","enquiries@mombooks.com"
"MILES KELLY PUBLISHING","Great Britain","info@mileskelly.net"
"MILLY&amp;FLYNN","Great Britain","sales@millyandflynn.com"
"MINILAB LTD.","Great Britain","fparzanese@minilabstudios.com"
"NEXTQUISITE LTD","Great Britain","amcrae@nextquisite.com"
"NORTH PARADE PUBLISHING","Great Britain","lottie@nppbooks.co.uk"
"NOSY CROW LTD","Great Britain","hello@nosycrow.com"
"OLD BARN BOOKS LTD.","Great Britain","ruth@oldbarnbooks.com"
"ORCHARD BOOKS","Great Britain",""
"ORION CHILDREN'S BOOKS","Great Britain","rights@hachettechildrens.co.uk"
"OTTER-BARRY BOOKS","Great Britain","janetta@otterbarrybooks.com"
"OXFORD UNIVERSITY PRESS","Great Britain","ELT.channelsandpartnerships@oup.com"
"OXFORD UNIVERSITY PRESS","Great Britain","valentina.fazio@oup.com"
"PALAZZO EDITIONS LTD","Great Britain","claudia@palazzoeditions.com"
"PARRAGON","Great Britain","emily.wallis@parragon.com"
"PAVILION CHILDREN'S BOOKS","Great Britain","sales@pavilionbooks.com"
"PENGUIN RANDOM HOUSE UK CHILDREN'S","Great Britain",""
"PHAIDON","Great Britain",""
"PICCADILLY PRESS","Great Britain","books@piccadillypress.co.uk"
"PLUG-IN MEDIA","Great Britain","hello@pluginmedia.net"
"PRIDDY BOOKS","Great Britain","sally.poulson@priddybooks.com"
"THE PUBLISHERS ASSOCIATION","Great Britain","gbailey@publishers.org.uk"
"THE PUBLISHERS ASSOCIATION","Great Britain","mail@publishers.org.uk"
"QUARTO CHILDREN'S GROUP","Great Britain","info@quarto.com;michael.clarke@quarto.com"
"QUERCUS CHILDREN'S BOOKS","Great Britain",""
"RAINTREE","Great Britain",""
"REALLY DECENT BOOKS LTD.","Great Britain","info@reallydecentbooks.co.uk"
"RED BIRD PUBLISHING","Great Britain","ian@red-bird.co.uk"
"RED ROBIN BOOKS","Great Britain","enquiries@redrobinbooks.com"
"RIGHTS PEOPLE","Great Britain","info@rightspeople.com"
"RUBY TUESDAY BOOKS LTD.","Great Britain","shan@rubytuesdaybooks.com"
"THE SALARIYA BOOK CO. LTD","Great Britain","salariya@salariya.com"
"SCHOLASTIC LTD.","Great Britain","rights@scholastic.co.uk"
"STUDIO FUN INTERNATIONAL LTD","Great Britain","Louisa.Holbrook@studiofun.com"
"STUDIO PRESS","Great Britain","info@studiopressbooks.co.uk"
"SWEET CHERRY PUBLISHING","Great Britain","info@sweetcherrypublishing.com"
"TATE PUBLISHING","Great Britain","tgpl@tate.org.uk"
"TEMPLAR PUBLISHING","Great Britain","info@templarco.co.uk"
"THAMES &amp; HUDSON LTD.","Great Britain","t.zaino@thameshudson.co.uk"
"THAT'S RIGHTS! / EASYROYALTIES","Great Britain","info@thatsrights.com"
"TOP THAT PUBLISHING LTD.","Great Britain","EmmaPorter@topthatpublishing.com;david@topthatpublishing.com"
"USBORNE PUBLISHING LIMITED","Great Britain","mail@usborne.co.uk;TeresaN@usborne.co.uk"
"WACKY BEE BOOKS","Great Britain","hello@wackybeebooks.com"
"WALKER BOOKS LIMITED INCLUDING: CANDLEWICK PRESS; ...","Great Britain",""
"FRANKLIN WATTS","Great Britain",""
"WAYLAND PUBLISHERS LTD.","Great Britain",""
"WELDON OWEN","Great Britain","info@weldonowenpublishing.co.uk"
"WINDMILL BOOKS &amp; BROWN BEAR BOOKS","Great Britain","scheung@windmillbooks.co.uk"
"WORKING PARTNERS LTD.","Great Britain","enquiries@workingpartnersltd.co.uk;AlexWebb@rightspeople.com"
"BOOK ART CENTER TBILISI","Georgia","anabookart@gmail.com"
"AHOIII ENTERTAINMENT","Germany",""
"ALADIN VERLAG GMBH","Germany","info@aladin-verlag.de"
"ARBEITSGEMEINSCHAFT VON JUGENDBUCHVERLAGEN E.V. (AVJ)","Germany","info@avj-online.de"
"ARBEITSKREIS FÜR JUGENDLITERATUR E.V.","Germany","info@jugendliteratur.org"
"ARENA VERLAG GMBH","Germany","lizenzen@arena-verlag.de"
"ARSEDITION GMBH","Germany","verlag@arsedition.de"
"ART GRAFIK- BECKER &amp; BECKER VERTRIEB GMBH &amp; CO.KG","Germany","info@art-grafic.eu / vetrieb@gwbi.de"
"BAUMHAUS VERLAG IN DER BASTEI LÜBBE AG","Germany","Jacqueline.rehse@luebbe.de"
"JULIUS BELTZ GMBH &amp; CO. KG","Germany","info@beltz.de"
"BIBLIOGRAPHISCHES INSTITUT GMBH/DUDENVERLAG","Germany","kundenservice@duden.de"
"BLUE OCEAN ENTERTAINMENT AG","Germany","info@blue-ocean-ag.de"
"BOJE VERLAG IN DER BASTEI LÜBBE AG","Germany","jacqueline.rehse@luebbe.de"
"CARLSEN VERLAG GMBH","Germany","info@carlsen.de"
"CBJ VERLAG","Germany","sonja.assfalg@randomhouse.de"
"COMPACT VERLAG GMBH","Germany","giancarlo.russo@compactverlag.de"
"COPPENRATH VERLAG","Germany","info@coppenrath.de"
"DEUTSCHE BIBELGESELLSCHAFT","Germany","info@dbg.de"
"DIX VERLAG","Germany","post@dix-verlag.de"
"DRESSLER VERLAG GMBH","Germany","dressler@verlagsgruppe-oetinger.de"
"DTV VERLAGSGESELLSCHAFT MBH &amp; CO. KG","Germany","junior@dtv.de"
"EDITION BRACKLO - GABRIELA BRACKLO","Germany","post@edition-bracklo.de"
"EGMONT PUBLISHING GERMANY","Germany","corporateweb@egmont.com"
"EGMONT VERLAGSGESELLSCHAFTEN / SCHNEIDERBUCH","Germany","g.toquin@egmont-vg.de"
"ELLERMANN - DRESSLER VERLAG GMBH","Germany","ellermann@verlagsgruppe-oetinger.de"
"FISCHER KINDER-UND JUGENDBUCH VERLAG GMBH","Germany","kinderundjugendbuch@fischerverlage.de"
"FOX &amp; SHEEP GMBH","Germany","verena@foxandsheep.com"
"FRANCKH KOSMOS VERLAGS GMBH &amp; CO. KG","Germany","info@kosmos.de;a.hierholz@kosmos.de"
"GERMANY - GERMAN COLLECTIVE AND FRANKFURT BOOK FAIR","Germany","buhre@book-fair.com"
"GERSTENBERG VERLAG GMBH &amp; CO. KG","Germany","verlag@gerstenberg-verlag.de"
"PETER HAMMER VERLAG GMBH","Germany","info@peter-hammer-verlag.de"
"CARL HANSER VERLAG GMBH &amp; CO. KG","Germany","info@hanser.de"
"HINSTORFF VERLAG GMBH","Germany","presse@hinstorff.de"
"INTERNATIONALE JUGENDBIBLIOTHEK","Germany","direktion@ijb.de"
"IO ILLUSTRATOREN ORGANISATION E V.","Germany","info@illustratoren-organisation.de"
"VERLAGSHAUS JACOBY &amp; STUART GMBH","Germany","verlag@jacobystuart.de"
"JUMBO NEUE MEDIEN &amp; VERLAG GMBH","Germany","info@jumbo-medien.de"
"KERLE IN DER VERLAG HERDER GMBH","Germany","bressan@herder.de"
"KINDERMANN VERLAG","Germany","anna.kindermann@kindermannverlag.de"
"KLETT KINDERBUCH","Germany","info@klett-kinderbuch.de"
"KLOPOTEK AG","Germany","info@klopotek.de/com"
"KUNSTANSTIFTER VERLAG","Germany","info@kunstanstifter.de"
"VERLAG ANTJE KUNSTMANN GMBH","Germany","info@kunstmann.de"
"LEIV LEIPZIGER KINDERBUCH VERLAG","Germany","steffen.lehmann@leiv-verlag.de"
"LITTLE GESTALTEN","Germany","littlegestalten@gestalten.com"
"LOEWE VERLAG GMBH","Germany","rights@loewe-verlag.de"
"MAGELLAN GMBH &amp; CO. KG","Germany","info@magellanverlag.de"
"MIXTVISION VERLAG","Germany","foreignrights@mixtvision.de"
"MOSES. VERLAG GMBH","Germany","info@moses-verlag.de"
"MUTHESIUS KUNSTHOCHSCHULE KIEL","Germany","markushuber@muthesius.de"
"NAUMAN &amp; GÖBEL VERLAGSGESELLSCHAFT MBH","Germany","info@vemag-medien.de"
"OETINGER 34","Germany","oetinger34@verlagsgruppe-oetinger.de"
"OETINGER TASCHENBUCH GMBH","Germany","taschenbuch@verlagsgruppe-oetinger.de"
"VERLAG FRIEDRICH OETINGER GMBH","Germany","oetinger@verlagsgruppe-oetinger.de"
"PONS GMBH","Germany","u.keppler@pons.de"
"R.G. FISCHER VERLAG","Germany","info@rgfisher-verlag.de"
"RAVENSBURGER BUCHVERLAG OTTO MAIER GMBH","Germany","buchverlag@ravensburger.de"
"ROWOHLT VERLAG","Germany","info@rowohlt.de"
"STORYDOCKS GMBH","Germany","marie.dietsch@storydocks.com"
"TESSLOFF VERLAG","Germany","info@tessloff.com"
"THIENEMANN - ESSLINGER VERLAG","Germany","bernhard@thienemann-esslinger.de"
"TULIPAN VERLAG GMBH","Germany","klussmann@tulipan-verlag.de"
"UEBERREUTER VERLAG GMBH","Germany","office@ueberreuter.de"
"URBN POCKETS","Germany","info@urbn-pockets.com"
"VERLAG FREIES GEISTESLEBEN &amp; URACHHAUS","Germany","lin@geistesleben.com"
"VIELFLIEGER VERLAG","Germany","felix.busse@vielflieger-verlag.com"
"WERKHAUS DESIGN UND PRODUKTION","Germany","info@werkhaus.de"
"WIMMELBUCHVERLAG","Germany","post@wimmelbuchverlag.de"
"AFRICAN BUREAU HOUSE FOR CHILDREN'S STORIES &amp; GOLDEN BAOBAB","Ghana","deborah@goldenbaobab.org"
"LMH PUBLISHING LIMITED","Jamaica","lmhbookpublishing@cwjamaica.com"
"BL PUBLISHING CO.  LTD.","Japan",""
"BRONZE PUBLISHING","Japan","naoko-t@bronze.co.jp"
"CHILD HONSHA CO.  LTD.","Japan",""
"CREATORS FACTORY TOKYO","Japan","creators-factory@tune.ocn.ne.jp"
"FROEBEL-KAN COMPANY  LIMITED","Japan","info-e@froebel-kan.co.jp"
"FUKUINKAN SHOTEN PUBLISHERS  INC.","Japan","international-rights@fukuinkan.co.jp"
"G-GRAPE CO. LTD.","Japan","nonaka@g-grape.co.jp"
"JAPAN FOREIGN-RIGHTS CENTRE (JFC)","Japan","yurika@jfc-tokyo.co.jp"
"KAISEI-SHA PUBLISHING CO.  LTD.","Japan","foreign@kaiseisha.co.jp"
"KODANSHA LTD.","Japan","foreignrights@kodansha.co.jp"
"KOGUMA PUBLISHING CO.  LTD.","Japan","sekiya@kogumasha.co.jp"
"ONE STROKE","Japan","komagata@one-stroke.co.jp"
"POPLAR PUBLISHING CO.  LTD.","Japan","internationalrights@poplar.co.jp"
"SUZUKI PUBLISHING CO.  LTD.","Japan","edit-info@suzuki-syuppan.co.jp"
"TOKUMA SHOTEN PUBLISHING CO.  LTD.","Japan","children@shoten.tokuma.com"
"JORDAN E-BOOKS LLC","Jordan","jordanebook2013@gmail.com;Bushra.T.jo@gmail.com"
"PATAKIS PUBLISHERS","Greece","foreignrights@patakis.gr"
"AMANUENSE","Guatemala","info@grupo-amanuense.com"
"ANPAK PRINTING LTD.","Hong Kong","info@anpak.com"
"CHOCOLATE RAIN JEWELERY &amp; DESIGN CO. LTD.","Hong Kong","info@chocolaterain.com"
"EDU-PETIT","Hong Kong","mktg@edu-petit.com"
"EGMONT PUBLISHING SOURCING","Hong Kong","corporateweb@egmont.com"
"HONG KONG PUBLISHING FEDERATION LIMITED","Hong Kong","info@publishers.com.hk"
"KODEC DEVELOPMENT LIMITED","Hong Kong","gladys_liu@kodec.com"
"THE HONG KONG PRINTERS ASSOCIATION","Hong Kong","printers@hkprinters.org"
"AADARSH PVT. LTD.","India","smita@aadarsh.com"
"ART FACTORY (A DIV. OF JJ. IMPRINTS PVT. LTD.)","India","sagar@jjprintindia.com"
"BRIJBASI ART PRESS-HELLO FRIEND","India","sanjayd@hellofriendbooks.com"
"DREAMLAND PUBLICATIONS","India","dreamland@vsnl.com"
"HAR-ANAND PUBLICATIONS PVT LTD.","India","haranand@rediffmail.com"
"INTERNATIONAL PRINT-O-PAC LTD.","India","amitmittal@ippindia.com"
"LITTLE KINGDOM BOOKS","India","mohitmrt71@yahoo.com"
"MACAW BOOKS","India","sandeep@macawbooks.com"
"MANDARA PUBLISHING","India","info@mandarapublishing.com"
"NAVNEET EDUCATION LTD.","India","george.punnoose@navneet.com"
"OM BOOKS INTERNATIONAL","India","rights@ombooks.com"
"QUIXOT PUBLICATIONS","India","sharad@quixotmultimedia.com"
"STERLING PUBLISHERS PVT. LTD","India","gkg@sterlingpublishers.com"
"TARA BOOKS PVT LTD","India","mail@tarabooks.com"
"XACT STUDIO INTERNATIONAL","India","rahul.xact@gmail.com"
"YOUNG ANGELS","India","youngangels04@gmail.com"
"THE MINISTRY OF EDUCATION AND CULTURE  REPUBLIC OF INDONESIA","Indonesia","laura@kesaintblanc.co.id"
"LITARA FOUNDATION","Indonesia","litara.foundation@gmail.com;info@litara.or.id"
"PT GRAMEDIA PUSTAKA UTAMA","Indonesia","andiana@gramediapublishers.com"
"ZIKRUL HAKIM BESTARI","Indonesia","foreignright@penerbitbestari.com"
"BLUE BIRD BOOKS (ELMI-FARHANGI PUBLISHING CO.)","Iran","info@ibluebird.com"
"KANOON/INSTITUTE FOR THE INTELLECTUAL DEVELOPMENT ...","Iran","book@kanoonintl.com"
"IRAN CULTURAL FAIRS INSTITUTE","Iran","r.nuei@tibf.ir"
"SHABAVIZ PUBLISHING COMPANY","Iran","shabaviz@shabaviz.com;shabaviz_publication@yahoo.com"
"DEIRDRE WHELAN PUBLISHING LTD.","Ireland","info@dwp.ie"
"IRELAND / C/O  AMK","Ireland",""
"THE O'BRIEN PRESS LTD.","Ireland","books@obrien.ie"
"STORYTOYS","Ireland","info@storytoys.com"
"BOOKS FROM ISRAEL","Israel","litscene@ithl.org.il;culture@roma.mfa.gov.il;avivit.hagby@gmail.com"
"3X1010 SRL","Italy","sistemi@3x1010.it"
"ALIR - ASSOCIAZIONE LIBRERIE INDIPENDENTI RAGAZZI","Italy","librerieindipendentiragazzi@gmail.com"
"ANIMATION ITALIA","Italy","info@animationitalia.it"
"ANTE QUEM SRL","Italy","info@antequem.it"
"ANT'S BOOKS","Italy","info@antsbooks.it"
"APPLIX EDUCATION SRL","Italy","info@applixeducation.com"
"EDIZIONI ARKA SRL","Italy","arka@arkaedizioni.it"
"ARS IN FABULA","Italy","info@arsinfabula.com"
"EDIZIONI ARTEBAMBINI SNC","Italy","info@artebambini.it"
"ASSOCIAZIONE AUTORI DI IMMAGINI","Italy","info@autoridimmagini.it"
"AIB - ASSOCIAZIONE ITALIANA BIBLIOTECHE","Italy","segreteria@aib.it;"
"ASSOCIAZIONE ITALIANA EDITORI","Italy","aie@aie.it"
"ASSOCIAZIONE TAPIRULAN","Italy","info@tapirulan.it"
"ASTERION PRESS SRL","Italy","info@asterionpress.com"
"ATLANTYCA ENTERTAINMENT","Italy","ilariacassano@atlantyca.it"
"B.I.C SRL BUSINESS INTERNATIONAL COMPANY","Italy","info@biclicensing.it"
"BABALIBRI SRL","Italy","info@babalibri.it"
"BACCHILEGA JUNIOR MOSAICO COOPERATIVA","Italy","info@bacchilegaeditore.it"
"BEISLER EDITORE SRL","Italy","info@beisler.it"
"BIBLIOLIBRÒ (ARTE IN FIABA)","Italy","info@bibliolibro.it"
"BIBLIOTECA DEI LEONI","Italy","info@bibliotecadeileoni.it"
"BOMPIANI - RCS LIBRI SPA","Italy","paola.zelasco@rcs.it"
"ISTITUTO CALLIS ITALIA C/O SOUZA","Italy","info@istitutocallis.it;editorial@callis.com.br"
"CAMELOZAMPA","Italy","info@camelozampa.com"
"CANICOLA ASSOCIAZIONE CULTURALE","Italy","info@canicola.net"
"CARTHUSIA EDIZIONI","Italy","i.maurri@carthusiaedizioni.it;info@carthusiaedizioni.it"
"IL CASTELLO EDITORE SRL","Italy","info@ilcastelloeditore.it"
"EDITRICE IL CASTORO SRL","Italy","info@castoro-on-line.it"
"CENTRO AMBROSIANO - INDIALOGO- IPL","Italy","gianni.cappelletto@chiesadimilano.it"
"CENTRO PER IL LIBRO E LA LETTURA. MIBACT","Italy","c-ll@beniculturali.it;flavia.cristiano@beniculturali.it"
"CITTÀ NUOVA EDITRICE","Italy","diffusione@cittanuova.it"
"LA COCCINELLA SRL","Italy","trade@coccinella.com"
"COCCOLE BOOKS SRL","Italy","edizioni@coccolebooks.com"
"CONAD - CONSORZIO NAZIONALE DETTAGLIANTI SOCIETÀ COOPERATIVA","Italy","scrittoridiclasse@insiemeperlascuola.it"
"MAURIZIO CORRAINI SRL","Italy","info@corraini.com"
"EDIZIONI CORSARE","Italy","edizionicorsare@gmail.com"
"CORSIERO EDITORE","Italy","andrea.casoli@corsieroeditore.it"
"CREABOOKS PACKAGERS","Italy","info@abooks.it"
"CREATIVAMENTE SRL","Italy","info@creativamente.eu"
"CREATIVE EUROPE DESK MEDIA/ ISTITUTO LUCE CINECITTÀ SRL","Italy","torino@europacreativa-media.it"
"EDIZIONI CURCI","Italy","info@edizionicurci.it"
"DAMI INTERNATIONAL (AN IMPRINT OF GIUNTI EDITORE SPA)","Italy","redazioneragazzi@giunti.it"
"DE AGOSTINI LIBRI SPA","Italy","comunicazione.deagostinilibri@deagostini.it"
"DISNEY- LUCAS-MARVEL (IMPRINTS LICENSED TO GIUNTI ...","Italy","info@giunti.it"
"DONZELLI EDITORE","Italy","editore@donzelli.it"
"EDB EDIZIONI DEHONIANE BOLOGNA
CENTRO EDITORIALE ...","Italy","info@dehoniane.it"
"GRUPPO EDICART SRL","Italy","info@edicart.it"
"EDITORIALE SCIENZA SRL (AN IMPRINT OF GIUNTI EDITORE SPA)","Italy","info@editorialescienza.it"
"EDIZIONI CENTRO STUDI ERICKSON SPA","Italy","info@erickson.it"
"EDIZIONI DEL BALDO SRL","Italy","info@pizzighella.com;eleonora.pizzighella@gmail.com"
"EDIZIONI DEL BORGO SRL (IN PARTNERSHIP WITH GIUNTI ...","Italy","info@edizionidelborgo.it"
"EDIZIONI PIEMME SPA -  IL BATTELLO A VAPORE","Italy","laura.barbesino@edizpiemme.it"
"EDIZIONI EL/EINAUDI RAGAZZI/EMME EDIZIONI","Italy","edizioniel@edizioniel.it;fatucci@edizioniel.it"
"MONDADORI ELECTA SPA","Italy","pugliese@mondadori.it"
"ELI SRL","Italy","info@elionline.com"
"ELSE SRL","Italy","else.edizioni@gmail.com"
"EQUILIBRI COOPERATIVA SOCIALE","Italy","info@equilibri-libri.it"
"FABBRI EDITORI - RCS LIBRI SPA","Italy","paola.zelasco@rcs.it"
"FALZEA EDITORE","Italy","info@falzeaeditore.it"
"FANUCCI EDITORE SRL","Italy","info@fanucci.it"
"FATATRAC (UN MARCHIO DI PROPRIETÀ DI EDIZIONI DEL BORGO SRL)","Italy","info@fatatrac.it"
"FEGUAGISKIA' STUDIOS SAS","Italy","andersen@andersen.it"
"GIANGIACOMO FELTRINELLI EDITORE","Italy","ufficio.stampa@feltrinelli.it;segreteria.editoriale@feltrinelli.it"
"FONDAZIONE APOSTOLICAM ACTUOSITATEM - EDITRICE AVE","Italy","r.grande@editriceave.it"
"FONDAZIONE COMUNICAZIONE E CULTURA DELLA CONFERENZA ...","Italy","fcc@chiesacattolica.it"
"FONDAZIONE NAZIONALE CARLO COLLODI","Italy","fondazione@pinocchio.it"
"FOOD SRL","Italy","m.scorletti@gruppofood.com"
"FOTO EDIZIONI SRL","Italy","fotoedizioni@fotoedizioni.it"
"FRANCESCO BRIOSCHI EDITORE","Italy","info@brioschieditore.it"
"FULMINO EDIZIONI","Italy","edizioni@fulmino.it"
"CARLO GALLUCCI EDITORE SRL","Italy","info@galluccieditore.com"
"GEOBOOKS SRL","Italy","info@geoworldgroup.com"
"IL GIORNALINO / G BABY PERIODICI SAN PAOLO","Italy","ilgiornalino@ilgiornalino.org"
"GIRALANGOLO (EDT SRL)","Italy","giralangolo@edt.it"
"GIUNTI EDITORE SPA","Italy","dirgen@giunti.it;"
"GIUNTI JUNIOR (AN IMPRINT OF GIUNTI EDITORE SPA)","Italy","redazioneragazzi@giunti.it"
"GIUNTI KIDS (AN IMPRINT OF GIUNTI EDITORE SPA)","Italy","redazioneragazzi@giunti.it"
"GIUNTI PROGETTI EDUCATIVI SRL","Italy","proed.fi@giunti.it"
"SOCIETÀ EDITORIALE GRAFICHE AZ SRL","Italy","l.aldegheri@graficheaz.it"
"GRIBAUDO-IF-IDEE EDITORIALI FELTRINELLI SRL","Italy","info@gribaudo.it"
"HAMELIN ASSOCIAZIONE CULTURALE","Italy","info@hamelin.net"
"IBBY ITALIA","Italy","ibbyitalia@gmail.com"
"IL GIOCO DI LEGGERE EDIZIONI","Italy","edizioni@ilgiocodileggere.it"
"IL POZZO DI GIACOBBE GRUPPO EDITORIALE SRL","Italy","info@ilpozzodigiacobbe.it"
"IL SOLE DI CARTA SRL","Italy","info@ilsoledicarta.it"
"INTERNETOPOLI - LUDOTECA REGISTRO.IT","Italy","ludoteca@registro.it"
"INUIT SAS DI TAVARNESI MARCO &amp; C.","Italy","inuitbookshop@gmail.com"
"IRFI - ISTITUTO ROMANO PER LA FORMAZIONE IMPRENDITORIALE","Italy","d.petacchi@irfi.it"
"ISIA  URBINO","Italy","info@isiaurbino.net"
"ITA - ITALIAN TRADE AGENCY","Italy","tempo.libero@ice.it"
"KALANDRAKA ITALIA","Italy","info@kalandraka.it"
"KITE EDIZIONI SRL","Italy","kite@kiteedizioni.it"
"KOO-KOO BOOKS","Italy","info@kookoobooks.com"
"LA GRANDE ILLUSION DI GIUSEPPE ZAPELLONI","Italy","salam@lagrandeillusion.it"
"LA NUOVA FRONTIERA SRL","Italy","info@lanuovafrontierajunior.it"
"LAPIS SNC DI R. PUNZI E C.","Italy","lapis@edizionilapis.it"
"LASTREGO &amp; TESTA MULTIMEDIA SRL","Italy","info@lastregoetesta.com"
"IL LEONE VERDE","Italy","leoneverde@leoneverde.it"
"LIBER C/O IDEST SRL","Italy","idest@idest.net"
"L'IPPOCAMPO RAGAZZI","Italy","ippocampo@ippocampoedizioni.it"
"LISCIANIGIOCHI SRL","Italy","info@liscianigiochi.it"
"LO STAMPATELLO SRLS","Italy","lostampatello@gmail.com"
"#LOGOSEDIZIONI","Italy","sara.castellini@logos.info"
"MAGISTERAPP","Italy","info@magisterapp.com"
"MAMMEONLINE COMUNICAZIONE SNC","Italy","editricemol@gmail.com"
"MELAZETA","Italy","info@melazeta.com"
"MIMASTER ILLUSTRAZIONE/OPPI 
ORGANIZZAZIONE PER LA ...","Italy","info@mimasterillustrazione.com"
"MINIBOMBO","Italy","info@minibombo.it"
"MONDADORI LIBRI SPA","Italy","info.ragazzi@mondadori.it"
"MOTTA JUNIOR (AN IMPRINT OF GIUNTI EDITORE SPA)","Italy","redazioneragazzi@giunti.it"
"NOTES EDIZIONI SAS","Italy","notes@notesedizioni.it"
"Ò.P.L.A. ARCHIVIO DEI LIBRI D'ARTISTA PER BAMBINI ...","Italy","biblioteca@comune.merano.bz.it"
"ORECCHIO ACERBO EDITORE","Italy","segreteria.orecchioacerbo@gmail.com"
"FRANCO COSIMO PANINI EDITORE","Italy","federica.previati@fcp.it"
"PAOLINE EDITORIALE LIBRI","Italy","edlibri.mi@paoline.it"
"PEA&amp;PROMOPLAST SRL","Italy","peapromoplast@peapromoplast.com"
"PICCOLA CASA EDITRICE SRL","Italy","info@piccolacasaeditrice.it"
